violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
M R Dirt, ,8922247  ,000398559,10/29/2015,1/10/2016 ,104(a),10/29/2015,C,N,56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,8922244  ,000398559,10/29/2015,1/10/2016 ,104(a),11/9/2015,C,N,56.14132(b)(2),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,8922245  ,000398559,10/29/2015,1/10/2016 ,104(a),10/29/2015,C,N,56.20013,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,8922246  ,000398559,10/29/2015,1/10/2016 ,104(a),11/9/2015,C,Y,56.3131,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,8717206  ,000323634,4/29/2013,7/11/2013 ,104(a),4/29/2013,C,N,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
Lopke Quarries Inc, ,8582217  ,000239051,10/20/2010,12/29/2010 ,104(a),10/20/2010,C,Y,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,207.00,Closed,207.00 ,207.00 
M R Dirt, ,8582218  ,000241220,10/20/2010,1/19/2011 ,104(a),10/21/2010,C,N,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,8582219  ,000241220,10/20/2010,1/19/2011 ,104(a),10/21/2010,C,Y,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,8570284  ,000208469,12/10/2009,2/18/2010 ,104(a),12/10/2009,C,N,56.14101(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6532551  ,000186467,4/1/2009,7/9/2009 ,104(a),4/1/2009,C,N,56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6532550  ,000186467,3/31/2009,7/9/2009 ,104(a),4/1/2009,C,Y,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,807.00,Closed,807.00 ,807.00 
Rock On Supply, ,6060590  , ,6/19/2008,104(b),8/7/2008,O,N/A, ,Non-Assessable,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf, , , , 
Rock On Supply, ,6060589  ,000163667,6/17/2008,10/31/2008 ,104(d)(1),8/7/2008,C,Y,56.15003,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,"2,000.00",Delinquent,"2,000.00 ",0.00 
Rock On Supply, ,6060591  ,000157938,6/17/2008,8/29/2008 ,104(a),6/17/2008,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Delinquent,100.00 ,0.00 
M R Dirt, ,6060587  ,000158367,6/17/2008,9/3/2008 ,104(a),6/19/2008,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060563  ,000158367,5/12/2008,9/3/2008 ,104(a),6/3/2008,C,N,56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060555  ,000158367,5/12/2008,9/3/2008 ,104(a),5/15/2008,C,N,47.31(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060556  ,000158367,5/12/2008,9/3/2008 ,104(a),5/12/2008,C,N,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060558  ,000158367,5/12/2008,9/3/2008 ,104(a),6/3/2008,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060561  ,000158367,5/12/2008,9/3/2008 ,104(a),5/15/2008,C,N,56.4200(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060560  ,000158367,5/12/2008,9/3/2008 ,104(a),5/15/2008,C,N,56.20008(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060557  ,000158367,5/12/2008,9/3/2008 ,104(a),6/3/2008,C,N,46.3(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060562  ,000158367,5/12/2008,9/3/2008 ,104(a),6/17/2008,C,N,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
M R Dirt, ,6060559  ,000161450,5/12/2008,10/9/2008 ,104(a),7/25/2008,C,N,56.14130(c),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12018.pdf,100.00,Closed,100.00 ,100.00 
