violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
Newberg Rock & Dirt, ,8992368  ,000440809,5/2/2017,7/23/2017 ,104(a),5/2/2017,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,116.00,Closed,116.00 ,116.00 
Newberg Rock & Dirt, ,8992214  ,000435717,2/7/2017,5/21/2017 ,104(a),2/8/2017,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,116.00,Closed,116.00 ,116.00 
Newberg Rock & Dirt, ,8872461  ,000398910,10/21/2015,1/13/2016 ,104(a),10/27/2015,C,N,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8872462  ,000398910,10/21/2015,1/13/2016 ,104(a),10/27/2015,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8790965  ,000383840,4/15/2015,7/17/2015 ,104(a),4/15/2015,C,N,56.13015,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8790964  ,000383840,4/13/2015,7/17/2015 ,104(a),4/15/2015,C,N,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8790963  ,000383840,4/10/2015,7/17/2015 ,104(a),4/13/2015,C,Y,56.15020,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,873.00,Closed,873.00 ,873.00 
Newberg Rock & Dirt, ,8790962  ,000383840,4/10/2015,7/17/2015 ,104(a),4/10/2015,C,N,56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694457  ,000345066,1/29/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694458  ,000345066,1/29/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694450  ,000345066,1/28/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694454  ,000345066,1/28/2014,4/12/2014 ,104(a),1/29/2014,C,Y,56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,243.00,Closed,243.00 ,243.00 
Newberg Rock & Dirt, ,8694456  ,000345066,1/28/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.14132(b)(1),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694452  ,000345066,1/28/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694455  ,000345066,1/28/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694453  ,000345066,1/28/2014,4/12/2014 ,104(a),1/29/2014,C,N,56.4201(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
Newberg Rock & Dirt, ,8694451  ,000347758,1/28/2014,5/14/2014 ,104(a),1/29/2014,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,100.00,Closed,100.00 ,100.00 
